"solar.time","light","temp.water","DO.obs","DO.sat","depth","discharge"
2021-07-07 11:39:01.82784,2273.2291764355,24.3,7.3,8.40181936539583,0.862583972397313,6.99419510123177
2021-07-07 11:54:01.82784,2282.34596665038,24.4,7.3,8.38621544950736,0.859535972494849,6.99419510123177
2021-07-07 12:09:01.82784,2283.8294821818,24.5,7.3,8.370662987559,0.850391972787457,6.99419510123177
2021-07-07 12:24:01.82784,2277.67337087318,24.6,7.3,8.35516170730274,0.850391972787457,6.99419510123177
2021-07-07 12:39:01.82784,2263.90398725972,24.7,7.4,8.33971133784036,0.844295972982529,6.99419510123177
2021-07-07 12:54:01.82784,2242.58027975279,24.8,7.4,8.32431160961431,0.838199973177601,6.99419510123177
2021-07-07 13:09:01.82784,2213.79353827845,24.9,7.4,8.30896225439876,0.835151973275137,6.99419510123177
2021-07-07 13:24:01.82784,2177.66700344632,25,7.4,8.29366300529059,0.829055973470209,6.99419510123177
2021-07-07 13:39:01.82784,2134.35533897064,25.1,7.4,8.27841359670053,0.829055973470209,6.99419510123177
2021-07-07 13:54:01.82784,2084.04396949571,25.2,7.4,8.26321376434435,0.819911973762817,6.99419510123177
2021-07-07 14:09:01.82784,2026.94828679609,25.3,7.4,8.24806324523403,0.819911973762817,6.99419510123177
2021-07-07 14:24:01.82784,1963.31272764302,25.3,7.3,8.24806324523403,0.813815973957889,6.99419510123177
2021-07-07 14:39:01.82784,1893.40972735122,25.4,7.3,8.2329617776692,0.807719974152961,6.99419510123177
2021-07-07 14:54:01.82784,1817.53855338355,25.4,7.3,8.2329617776692,0.804671974250497,6.99419510123177
2021-07-07 15:09:01.82784,1736.02402416768,25.4,7.3,8.2329617776692,0.804671974250497,6.99419510123177
2021-07-07 15:24:01.82784,1649.21511856179,25.4,7.3,8.2329617776692,0.798575974445569,6.99419510123177
2021-07-07 15:39:01.82784,1557.48348166331,25.4,7.2,8.2329617776692,0.801623974348033,6.99419510123177
2021-07-07 15:54:01.82784,1461.22183388646,25.4,7.2,8.2329617776692,0.801623974348033,6.99419510123177
2021-07-07 16:09:01.82784,1360.84228953804,25.4,7.2,8.2329617776692,0.801623974348033,6.99419510123177
2021-07-07 16:24:01.82784,1256.77459258351,25.4,7.2,8.2329617776692,0.801623974348033,6.99419510123177
2021-07-07 16:39:01.82784,1149.46427675616,25.4,7.1,8.2329617776692,0.804671974250497,6.99419510123177
2021-07-07 16:54:01.82784,1039.3707581106,25.4,7.1,8.2329617776692,0.801623974348033,6.99419510123177
2021-07-07 17:09:01.82784,926.965368350099,25.4,7.1,8.2329617776692,0.804671974250497,6.99419510123177
2021-07-07 17:24:01.82784,812.729336766519,25.4,7,8.2329617776692,0.804671974250497,6.99419510123177
2021-07-07 17:39:01.82784,697.151730149506,25.5,7,8.21790910122836,0.807719974152961,6.99419510123177
2021-07-07 17:54:01.82784,580.727358846983,25.5,7,8.21790910122836,0.807719974152961,6.99419510123177
2021-07-07 18:09:01.82784,463.954658570532,25.5,7,8.21790910122836,0.807719974152961,6.99419510123177
2021-07-07 18:24:01.82784,347.333556368454,25.5,6.9,8.20121063144034,0.813815973957889,6.99419510123177
2021-07-07 18:39:01.82784,231.363330344439,25.5,6.9,8.20121063144034,0.813815973957889,6.99419510123177
2021-07-07 18:54:01.82784,116.540472235956,25.5,6.9,8.20121063144034,0.816863973860353,6.99419510123177
2021-07-07 19:09:01.82784,3.35656174348432,25.5,6.8,8.20121063144034,0.819911973762817,6.99419510123177
2021-07-07 19:24:01.82784,0,25.4,6.8,8.21623600588321,0.819911973762817,6.99419510123177
2021-07-07 19:39:01.82784,0,25.4,6.8,8.21623600588321,0.826007973567745,6.99419510123177
2021-07-07 19:54:01.82784,0,25.3,6.8,8.23131006609003,0.826007973567745,6.99419510123177
2021-07-07 20:09:01.82784,0,25.2,6.8,8.24643307200566,0.822959973665281,6.99419510123177
2021-07-07 20:24:01.82784,0,25.2,6.7,8.24643307200566,0.829055973470209,6.99419510123177
2021-07-07 20:39:01.82784,0,25.1,6.7,8.26160528485124,0.829055973470209,6.99419510123177
2021-07-07 20:54:01.82784,0,25,6.7,8.27682696713288,0.829055973470209,6.99419510123177
2021-07-07 21:09:01.82784,0,24.9,6.7,8.29209838265024,0.826007973567745,6.99419510123177
2021-07-07 21:24:01.82784,0,24.8,6.7,8.30741979650534,0.829055973470209,6.99419510123177
2021-07-07 21:39:01.82784,0,24.8,6.7,8.30741979650534,0.826007973567745,6.99419510123177
2021-07-07 21:54:01.82784,0,24.7,6.7,8.32279147511134,0.826007973567745,6.99419510123177
2021-07-07 22:09:01.82784,0,24.6,6.7,8.33821368620139,0.832103973372673,6.99419510123177
2021-07-07 22:24:01.82784,0,24.6,6.7,8.33821368620139,0.829055973470209,6.99419510123177
2021-07-07 22:39:01.82784,0,24.5,6.7,8.35368669883761,0.829055973470209,6.99419510123177
2021-07-07 22:54:01.82784,0,24.5,6.7,8.35368669883761,0.826007973567745,6.99419510123177
2021-07-07 23:09:01.82784,0,24.4,6.6,8.36921078342004,0.822959973665281,6.99419510123177
2021-07-07 23:24:01.82784,0,24.4,6.6,8.36921078342004,0.822959973665281,6.99419510123177
2021-07-07 23:39:01.82784,0,24.3,6.6,8.38478621169575,0.822959973665281,6.99419510123177
2021-07-07 23:54:01.82784,0,24.3,6.6,8.38478621169575,0.819911973762817,6.99419510123177
2021-07-08 00:09:01.82784,0,24.2,6.5,8.40041325676798,0.822959973665281,6.99419510123177
2021-07-08 00:24:01.82784,0,24.2,6.5,8.40041325676798,0.819911973762817,6.99419510123177
2021-07-08 00:39:01.82784,0,24.1,6.4,8.4160921931053,0.819911973762817,6.99419510123177
2021-07-08 00:54:01.82784,0,24.1,6.4,8.4160921931053,0.819911973762817,6.99419510123177
2021-07-08 01:09:01.82784,0,24,6.4,8.43182329655094,0.819911973762817,6.99419510123177
2021-07-08 01:24:01.82784,0,24,6.4,8.43182329655094,0.819911973762817,6.99419510123177
2021-07-08 01:39:01.82784,0,23.9,6.4,8.44760684433209,0.816863973860353,6.99419510123177
2021-07-08 01:54:01.82784,0,23.9,6.3,8.44760684433209,0.819911973762817,6.99419510123177
2021-07-08 02:09:01.82784,0,23.8,6.3,8.46344311506933,0.816863973860353,6.99419510123177
2021-07-08 02:24:01.82784,0,23.8,6.3,8.46344311506933,0.813815973957889,6.99419510123177
2021-07-08 02:39:01.82784,0,23.7,6.3,8.47933238878614,0.822959973665281,6.99419510123177
2021-07-08 02:54:01.82784,0,23.7,6.3,8.47933238878614,0.822959973665281,6.99419510123177
2021-07-08 03:09:01.82784,0,23.6,6.3,8.49527494691839,0.832103973372673,6.99419510123177
2021-07-08 03:24:01.82784,0,23.6,6.3,8.49527494691839,0.862583972397313,6.99419510123177
2021-07-08 03:39:01.82784,0,23.5,6.2,8.51127107232405,0.911351970836737,6.99419510123177
2021-07-08 03:54:01.82784,0,23.5,6.2,8.51127107232405,0.957071969373697,6.99419510123177
2021-07-09 04:09:01.82784,0,24.1,5.5,8.44429145488368,1.03022396703283,6.99419510123177
2021-07-09 04:24:01.82784,0,24,5.5,8.46007011361779,1.03022396703283,6.99419510123177
2021-07-09 04:39:01.82784,0,24,5.4,8.46007011361779,1.02107996732544,6.99419510123177
2021-07-09 04:54:01.82784,0,24,5.4,8.46007011361779,1.01498396752051,6.99419510123177
2021-07-09 05:09:01.82784,65.1482211993297,24,5.3,8.46007011361779,1.01193596761805,6.99419510123177
2021-07-09 05:24:01.82784,179.52908184293,23.9,5.3,8.4759014019473,1.00279196791066,6.99419510123177
2021-07-09 05:39:01.82784,295.261231542659,23.9,5.2,8.4759014019473,0.999743968008193,6.99419510123177
2021-07-09 05:54:01.82784,411.849192066418,23.9,5.2,8.4759014019473,0.990599968300801,6.99419510123177
2021-07-09 06:09:01.82784,528.793821066812,23.8,5.1,8.49178559934266,0.987551968398337,6.99419510123177
2021-07-09 06:24:01.82784,645.59444925031,23.8,5,8.49178559934266,0.978407968690945,6.99419510123177
2021-07-09 06:39:01.82784,761.751023559045,23.8,5,8.49178559934266,0.972311968886017,6.99419510123177
2021-07-09 06:54:01.82784,876.766248273777,23.8,5,8.49178559934266,0.963167969178625,6.99419510123177
2021-07-09 07:09:01.82784,990.147713907022,23.8,5,8.49178559934266,0.960119969276161,6.99419510123177
2021-07-09 07:24:01.82784,1101.41000548689,23.8,5,8.49178559934266,0.954023969471233,6.99419510123177
2021-07-09 07:39:01.82784,1210.07678056494,23.7,5,8.50772298668199,0.947927969666305,6.99419510123177
2021-07-09 07:54:01.82784,1315.68280865227,23.7,5.1,8.50772298668199,0.941831969861377,6.99419510123177
2021-07-09 08:09:01.82784,1417.77596307774,23.7,5.1,8.50772298668199,0.938783969958913,6.99419510123177
2021-07-09 08:24:01.82784,1515.91915648959,23.8,5.2,8.49178559934266,0.932687970153985,6.99419510123177
2021-07-09 08:39:01.82784,1609.69221228468,23.8,5.2,8.49178559934266,0.929639970251521,6.99419510123177
2021-07-09 08:54:01.82784,1698.69366338962,23.8,5.3,8.49178559934266,0.923543970446593,6.99419510123177
2021-07-09 09:09:01.82784,1782.5424711307,23.9,5.4,8.4759014019473,0.920495970544129,6.99419510123177
2021-07-09 09:24:01.82784,1860.87965655643,23.9,5.5,8.4759014019473,0.914399970739201,6.99419510123177
2021-07-09 09:39:01.82784,1933.36983726322,24,5.6,8.46007011361779,0.911351970836737,6.99419510123177
2021-07-09 09:54:01.82784,1999.70266336048,24.1,5.7,8.44429145488368,0.908303970934273,6.99419510123177
2021-07-09 10:09:01.82784,2059.5941460369,24.2,5.7,8.42856514767262,0.905255971031809,6.99419510123177
2021-07-09 10:24:01.82784,2112.78787352497,24.2,5.8,8.42856514767262,0.902207971129345,6.99419510123177
2021-07-09 10:39:01.82784,2159.05610880258,24.3,5.8,8.41289091530089,0.899159971226881,6.99419510123177
2021-07-09 10:54:01.82784,2198.20076463187,24.4,5.8,8.39726848246412,0.896111971324417,6.99419510123177
2021-07-09 11:09:01.82784,2230.05425159068,24.5,5.9,8.38169757522791,0.890015971519489,6.99419510123177
2021-07-09 11:24:01.82784,2254.48019564583,24.6,5.9,8.36617792101862,0.890015971519489,6.99419510123177
2021-07-09 11:39:01.82784,2271.37402195005,24.8,5.9,8.33529128813513,0.886967971617025,6.99419510123177
2021-07-09 11:54:01.82784,2280.66340260109,25,5.9,8.30460643009311,0.883919971714561,6.99419510123177
2021-07-09 12:09:01.82784,2282.30856629633,25.1,6,8.28933899940258,0.883919971714561,6.99419510123177
2021-07-09 12:24:01.82784,2276.30246860963,25.3,6,8.25895281167764,0.880871971812097,6.99419510123177
2021-07-09 12:39:01.82784,2262.67082217083,25.5,6,8.22876310659057,0.877823971909633,6.99419510123177
2021-07-09 12:54:01.82784,2241.47198658403,25.7,6,8.19876780336258,0.874775972007169,6.99419510123177
2021-07-09 13:09:01.82784,2212.79671859101,25.8,6,8.18384240773804,0.874775972007169,6.99419510123177
2021-07-09 13:24:01.82784,2176.76778352778,25.8,6,8.18384240773804,0.871727972104705,6.99419510123177
2021-07-09 13:39:01.82784,2133.53942975569,25.9,6.1,8.16896484143262,0.871727972104705,6.99419510123177
2021-07-09 13:54:01.82784,2083.29672824741,25.9,6,8.16896484143262,0.874775972007169,6.99419510123177
2021-07-09 14:09:01.82784,2026.25478032618,25.8,6,8.18384240773804,0.880871971812097,6.99419510123177
2021-07-09 14:24:01.82784,1962.65779670916,25.7,6.2,8.19876780336258,0.883919971714561,6.99419510123177
2021-07-09 14:39:01.82784,1892.77805206564,25.6,6.2,8.21374128399993,0.896111971324417,6.99419510123177
2021-07-09 14:54:01.82784,1816.91471922256,25.5,6.1,8.22876310659057,0.911351970836737,6.99419510123177
2021-07-09 15:09:01.82784,1735.39258844041,25.4,6.1,8.24383352933009,0.920495970544129,6.99419510123177
2021-07-09 15:24:01.82784,1648.56067689681,25.4,6.2,8.24383352933009,0.935735970056449,6.99419510123177
2021-07-09 15:39:01.82784,1556.79073439204,25.4,6.2,8.24383352933009,0.960119969276161,6.99419510123177
2021-07-09 15:54:01.82784,1460.4756518614,25.4,6.1,8.24383352933009,1.00279196791066,6.99419510123177
2021-07-09 16:09:01.82784,1360.02777929008,25.4,6.1,8.24383352933009,1.06375196595994,6.99419510123177
2021-07-09 16:24:01.82784,1255.87716036704,25.4,6.2,8.24383352933009,1.13690396361907,6.99419510123177
2021-07-09 16:39:01.82784,1148.46969124641,25.4,6.2,8.24383352933009,1.20395996147328,6.99419510123177
2021-07-09 16:54:01.82784,1038.26521174714,25.4,6.2,8.24383352933009,1.28320795893735,6.99419510123177
2021-07-09 17:09:01.82784,925.735536433299,25.4,6.2,8.24383352933009,1.35026395679155,6.99419510123177
2021-07-09 17:24:01.82784,811.362434852635,25.2,6.1,8.2741212143645,1.41122395484083,6.99419510123177
2021-07-09 17:39:01.82784,695.635568840932,25.2,6.1,8.2741212143645,1.45694395337779,6.99419510123177
2021-07-09 17:54:01.82784,579.050396147935,25.1,6.1,8.28933899940258,1.4904719523049,6.99419510123177
2021-07-09 18:09:01.82784,462.106049309371,25,6.1,8.30460643009311,1.53314395093939,6.99419510123177
2021-07-09 18:24:01.82784,345.303198730855,24.9,6.2,8.31908057744787,1.57581594957389,6.99419510123177
2021-07-09 18:39:01.82784,229.141909118062,24.8,6.2,8.33444669747968,1.61543994830592,6.99419510123177
2021-07-09 18:54:01.82784,114.119498533646,24.8,6.2,8.33444669747968,1.65811194694042,6.99419510123177
