"solar.time","DO.obs","DO.sat","depth","temp.water","light","discharge"
2021-12-09 02:00:37.584377,12.94,13.708598341238,0.341375989075968,2.2,0,0.433243664165369
2021-12-09 02:15:37.584377,12.95,13.7310152742345,0.341375989075968,2.14,0,0.433243664165369
2021-12-09 02:30:37.584377,12.97,13.745994315905,0.341375989075968,2.1,0,0.433243664165369
2021-12-09 02:45:37.584377,13,13.7610009688386,0.341375989075968,2.06,0,0.433243664165369
2021-12-09 03:00:37.584377,13.02,13.7722741174855,0.341375989075968,2.03,0,0.433243664165369
2021-12-09 03:15:37.584377,13.05,13.7873292464836,0.341375989075968,1.99,0,0.433243664165369
2021-12-09 03:30:37.584377,13.07,13.7986388270146,0.341375989075968,1.96,0,0.431827835197508
2021-12-09 03:45:37.584377,13.09,13.8024121657402,0.341375989075968,1.95,0,0.430412006229647
2021-12-09 04:00:37.584377,13.11,13.806187245445,0.341375989075968,1.94,0,0.430412006229647
2021-12-09 04:15:37.584377,13.14,13.8099640671529,0.341375989075968,1.93,0,0.430412006229647
2021-12-09 04:30:37.584377,13.16,13.806187245445,0.341375989075968,1.94,0,0.431827835197508
2021-12-09 04:45:37.584377,13.18,13.7986388270146,0.341375989075968,1.96,0,0.433243664165369
2021-12-09 05:00:37.584377,13.19,13.7910973684085,0.341375989075968,1.98,0,0.433243664165369
2021-12-09 05:15:37.584377,13.22,13.783562861449,0.341375989075968,2,0,0.433243664165369
2021-12-09 05:30:37.584377,13.23,13.7760352979694,0.341375989075968,2.02,0,0.431827835197508
2021-12-09 05:45:37.584377,13.23,13.7647569539375,0.341375989075968,2.05,0,0.430412006229647
2021-12-09 06:00:37.584377,13.24,13.745994315905,0.341375989075968,2.1,0,0.430412006229647
2021-12-09 06:15:37.584377,13.25,13.7310152742345,0.341375989075968,2.14,0,0.430412006229647
2021-12-09 06:30:37.584377,13.26,13.7160637790695,0.339851989124736,2.18,0,0.428996177261787
2021-12-09 06:45:37.584377,13.27,13.6974130490174,0.338327989173504,2.23,0,0.427580348293926
2021-12-09 07:00:37.584377,13.27,13.6788051337339,0.339851989124736,2.28,0,0.428996177261787
2021-12-09 07:15:37.584377,13.27,13.6713739276689,0.341375989075968,2.3,0,0.430412006229647
2021-12-09 07:30:37.584377,13.27,13.6602399078953,0.341375989075968,2.33,48.2859212984557,0.430412006229647
2021-12-09 07:45:37.584377,13.27,13.64912121135,0.341375989075968,2.36,141.163142012752,0.430412006229647
2021-12-09 08:00:37.584377,13.26,13.64912121135,0.339851989124736,2.36,230.837428593505,0.428996177261787
2021-12-09 08:15:37.584377,13.26,13.6380178111281,0.338327989173504,2.39,316.925011806689,0.427580348293926
2021-12-09 08:30:37.584377,13.26,13.6306240290093,0.338327989173504,2.41,399.057472204805,0.427580348293926
2021-12-09 08:45:37.584377,13.25,13.6269296803794,0.338327989173504,2.42,476.883316645943,0.427580348293926
2021-12-09 09:00:37.584377,13.25,13.6232370253798,0.338327989173504,2.43,550.069482695545,0.426164519326065
2021-12-09 09:15:37.584377,13.24,13.6158567923082,0.338327989173504,2.45,618.302763917831,0.424748690358205
2021-12-09 09:30:37.584377,13.24,13.6084833218737,0.338327989173504,2.47,681.29115023856,0.426164519326065
2021-12-09 09:45:37.584377,13.23,13.5937566372878,0.338327989173504,2.51,738.76507769015,0.427580348293926
2021-12-09 10:00:37.584377,13.21,13.5790569084711,0.338327989173504,2.55,790.478581966151,0.427580348293926
